flight_number,timestamp,altitude_baro,ground_speed,air_speed,latitude,longitude,track_angle,roll_angle,emergency,wind_direction,wind_speed,temperature,on_ground,lga_type,origin,destination
UAL709,7/1/2026 4:00:16 PM,5850,292.7,251,40.5501180000,-74.0857420000,68.3399963,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:16 PM,4750,279.1,250,40.6690130000,-73.9748170000,35.2299995,0,none,285,16,18,F,arrival,MIA,LGA
UAL2133,7/1/2026 4:00:16 PM,18000,418.4,295,40.9023320000,-76.1639680000,107.9599991,-0.35,none,296,25,-11,F,arrival,IAH,LGA
UAL709,7/1/2026 4:00:16 PM,5825,292.7,251,40.5503970000,-74.0849930000,68.3399963,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:17 PM,5825,292.3,251,40.5506300000,-74.0843060000,67.4700012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:17 PM,5825,292.3,251,40.5508580000,-74.0834960000,67.4700012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:18 PM,5800,292.4,251,40.5511320000,-74.0828860000,66.4199982,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:18 PM,5800,292.4,251,40.5513750000,-74.0820590000,66.4199982,-15.29,none,208,17,20,F,arrival,ORD,LGA
SWA1078,7/1/2026 4:00:18 PM,37000,464.7,,36.2866060000,-79.5513730000,55.0800018,,none,,,,F,arrival,LAS,LGA
UAL709,7/1/2026 4:00:19 PM,5775,292.6,251,40.5516540000,-74.0814350000,65.3600006,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1056,7/1/2026 4:00:19 PM,32300,474.6,276,41.1449430000,-77.5838620000,99.5800018,-0.18,none,294,15,-37,F,arrival,DFW,LGA
UAL709,7/1/2026 4:00:19 PM,5775,292.6,251,40.5519560000,-74.0806270000,65.3600006,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL669,7/1/2026 4:00:19 PM,35000,455,,41.5845090000,-81.7514390000,98.4700012,,none,,,,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:20 PM,5750,292.1,251,40.5523530000,-74.0796870000,64.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:20 PM,5750,292.1,251,40.5525850000,-74.0790630000,64.2200012,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:21 PM,5725,291.6,251,40.5529170000,-74.0783080000,63.0800018,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:21 PM,4675,279.1,250,40.6744130000,-73.9698240000,35.2299995,0,none,285,16,18,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:21 PM,5725,291.6,251,40.5532370000,-74.0775020000,63.0800018,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:22 PM,5700,291.2,251,40.5535580000,-74.0767820000,61.9399986,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:22 PM,5700,291.2,251,40.5538890000,-74.0760040000,61.9399986,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:23 PM,5675,291,251,40.5544010000,-74.0749430000,60.7900009,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:23 PM,5675,291,251,40.5546340000,-74.0743190000,60.7900009,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:24 PM,5675,290.9,251,40.5550230000,-74.0736080000,59.6399994,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:24 PM,5650,290.9,251,40.5553790000,-74.0728200000,59.6399994,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:25 PM,5650,290.9,251,40.5557560000,-74.0721440000,58.5,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:25 PM,5625,290.9,251,40.5560300000,-74.0715330000,58.5,-15.29,none,208,17,20,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:25 PM,34975,472.5,,41.3375960000,-79.2735360000,97.9100037,,none,,,,F,arrival,MDW,LGA
UAL709,7/1/2026 4:00:26 PM,5625,290.4,251,40.5565800000,-74.0705570000,57.5099983,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:26 PM,5625,290.4,251,40.5569610000,-74.0697620000,57.5099983,-15.29,none,208,17,20,F,arrival,ORD,LGA
AAL1150,7/1/2026 4:00:26 PM,-25,0,,40.7761690000,-73.8738250000,171.5599976,,none,,,,T,departure,LGA,CLT
UAL2133,7/1/2026 4:00:26 PM,18000,419.3,295,40.8961870000,-76.1389370000,107.9199982,-0.53,none,294,25,-4,F,arrival,IAH,LGA
AAL1046,7/1/2026 4:00:26 PM,4575,279.1,250,40.6800920000,-73.9645800000,35.2299995,0,none,285,16,18,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:27 PM,5600,290.4,251,40.5574270000,-74.0689500000,57.5099983,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:27 PM,5600,289.3,251,40.5577060000,-74.0683890000,56.4199982,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:28 PM,5575,289.6,251,40.5580790000,-74.0678270000,55.2700005,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:28 PM,5575,289.6,251,40.5584560000,-74.0670780000,55.2700005,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:29 PM,5575,289.5,251,40.5587770000,-74.0665890000,54.2799988,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:29 PM,5550,289.5,251,40.5591960000,-74.0658920000,54.2799988,-15.29,none,208,17,20,F,arrival,ORD,LGA
SWA1078,7/1/2026 4:00:29 PM,37000,464.7,,36.3001320000,-79.5273410000,55.0800018,,none,,,,F,arrival,LAS,LGA
AAL1056,7/1/2026 4:00:29 PM,32150,474.8,277,41.1410520000,-77.5538640000,99.6999969,0.35,none,298,16,-37,F,arrival,DFW,LGA
UAL709,7/1/2026 4:00:30 PM,5550,288.6,251,40.5596920000,-74.0650630000,53.1699982,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL669,7/1/2026 4:00:30 PM,35000,455.1,,41.5812500000,-81.7223130000,98.5899963,,none,,,,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:30 PM,5525,288.6,251,40.5601500000,-74.0642090000,53.1699982,-15.29,none,208,17,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:31 PM,5525,288,251,40.5605920000,-74.0635820000,52.3300018,-15.29,none,208,17,20,F,arrival,ORD,LGA
