trackID,name,MTFC,RTCD,X,Y,sequence,order,time
86,el Camino Real,Primary Road,Common Name,-120.7004987,35.73861188,1,1.00086,
87,el Dorado Fwy,Primary Road,Common Name,-121.4093622,38.55381508,1,1.00087,
88,el Dorado Fwy,Primary Road,Common Name,-121.4093552,38.55358708,1,1.00088,
89,Escondido Fwy,Primary Road,Common Name,-117.1209479,32.69877176,1,1.00089,
90,Everglades Pkwy,Primary Road,Common Name,-80.44205176,26.14470477,1,1.0009,
91,Everglades Pkwy,Primary Road,Common Name,-80.44197976,26.14437877,1,1.00091,
92,Florida's Tpke,Primary Road,Common Name,-80.20911569,25.92842773,1,1.00092,
93,Florida's Tpke,Primary Road,Common Name,-80.20873069,25.92818972,1,1.00093,
94,Foothill Fwy,Primary Road,Common Name,-117.201243,34.07021892,1,1.00094,
95,Foothill Fwy,Primary Road,Common Name,-118.4621312,34.32395487,1,1.00095,
96,Frederick E Everett Tpke,Primary Road,Common Name,-71.53037979,43.17048981,1,1.00096,
97,Frederick E Everett Tpke,Primary Road,Common Name,-71.44911274,42.70034672,1,1.00097,
98,Garden State Pkwy,Primary Road,Common Name,-74.90336963,38.96009287,1,1.00098,
99,Garden State Pkwy,Primary Road,Common Name,-74.30208153,40.4898152,1,1.00099,
100,Garden State Pkwy,Primary Road,Common Name,-74.03892248,41.09562733,1,1.001,
